"time_stamp","friendly_name","currency_pair","product_type","channel","trade_quantity","trade_side","trade_status","trade_price","segment","sector","region"
2024-10-14 08:00:00,"Software Supplies","USD/ZAR","Spot","BBG",16500,"BUY","FILLED",17.92094,"CCG","TBC","Lesotho"
2024-10-14 08:00:02,"King Manufacturers","USD/ZAR","Spot","360T",266100,"BUY","FILLED",17.75623,"CCG","CIB CPG and Agri","South Africa"
2024-10-14 08:00:03,"GSA FUND","USD/ZAR","Spot","360T",20491500,"SELL","FILLED",17.79298,"ICG","Other","London"
2024-10-14 08:00:04,"GSA FUND","USD/NAD","Forward","ACCELERATE SDP",118500,"BUY","FILLED",17.77,"ICG","Other","Namibia"
2024-10-14 08:00:07,"Alan Brown","USD/ZAR","Forward","ACCELERATE SDP",1067100,"BUY","FILLED",17.930365,"ICG","CIB Asset Management & Funds","London"
2024-10-14 08:00:24,"Anglo European","USD/ZAR","Spot","360T",1000,"BUY","FILLED",17.72051,"CCG","CIB Resources","South Africa"
2024-10-14 08:01:18,"ABC Motoring","EUR/USD","Spot","BBG",6000,"SELL","FILLED",1.10577,"CCG","TBC","South Africa"
2024-10-14 08:01:35,"Anglo European","USD/ZAR","Spot","ACCELERATE STW",3599900,"BUY","FILLED",17.99057,"CCG","CIB Resources","South Africa"
2024-10-14 08:01:45,"Bank of Accesibility","USD/ZAR","Spot","BBG",1000,"BUY","FILLED",17.85774,"ICG","CIB Banks and DFIs","London"
2024-10-14 08:03:08,"Generation Medication","BWP/ZAR","Forward","FASTMATCH",1000,"BUY","FILLED",1.3305,"CCG","CIB CPG and Agri","South Africa"
2024-10-14 08:03:09,"Mauritius Client","USD/ZAR","Spot","360T",40289500,"SELL","FILLED",17.87622,"ICG","CIB Banks and DFIs","Botswana"
2024-10-14 08:03:21,"Bank Ten","BWP/USD","Forward","FASTMATCH",1400,"BUY","FILLED",0.0748,"ICG","CIB Banks and DFIs","South Africa"
2024-10-14 08:03:33,"The Zebra Bank","USD/ZAR","Spot","ACCELERATE SDP",7952600,"BUY","FILLED",17.82532,"ICG","CIB Banks and DFIs","London"
